GEOID,Poverty
47157000100,12.5
47157000200,44.5
47157000300,21
47157000400,42.3
47157000600,45.8
47157000700,35.3
47157000800,48.5
47157000900,40.8
47157001100,27.7
47157001200,18.6
47157001300,47.1
47157001400,34.1
47157001500,27.3
47157001600,14.2
47157001700,6.9
47157001900,23.2
47157002000,33.1
47157002100,20.8
47157002400,33.9
47157002500,29.7
47157002600,6.6
47157002700,30.3
47157002800,49.1
47157002900,6.7
47157003000,32.4
47157003100,8.1
47157003200,12.5
47157003300,3.3
47157003400,12.7
47157003500,15.7
47157003600,32.8
47157003700,37.1
47157003800,52.5
47157003900,49.7
47157004200,7.4
47157004300,4.5
47157004500,71
47157004600,26.9
47157005000,70.2
47157005300,43
47157005500,55.7
47157005600,32.8
47157005700,40.2
47157005800,51.4
47157005900,66.7
47157006000,30
47157006200,33.6
47157006300,16.3
47157006400,4.8
47157006500,36.9
47157006600,12.9
47157006700,28
47157006800,27.2
47157006900,34.9
47157007000,40
47157007100,4.5
47157007200,15.6
47157007300,27.4
47157007400,47
47157007500,11.8
47157007810,50
47157007821,41.1
47157007822,26.7
47157007900,26.8
47157008000,18.7
47157008110,42.3
47157008120,25
47157008200,40.1
47157008500,2.3
47157008600,4.8
47157008700,29.1
47157008800,29.1
47157008900,35.4
47157009100,56.2
47157009201,2.1
47157009202,8.9
47157009300,21.4
47157009400,8.7
47157009501,5.4
47157009502,2.8
47157009600,9.4
47157009700,33
47157009800,15.6
47157009901,49.8
47157009902,58.1
47157010001,46
47157010002,18.1
47157010120,56.9
47157010121,42.6
47157010122,39.8
47157010210,24.1
47157010220,29
47157010300,41.8
47157010500,47.7
47157010610,37.7
47157010620,38
47157010630,44
47157010710,29.1
47157010720,26.8
47157010810,36.3
47157010820,20.1
47157011010,36.7
47157011020,31.8
47157011100,53.2
47157011200,41.5
47157011300,33.7
47157011401,49.6
47157011402,48.5
47157011500,47.5
47157011600,63.6
47157011700,47.7
47157011800,23.5
47157020101,19.5
47157020102,14.9
47157020210,13.8
47157020221,12.9
47157020222,2.5
47157020301,0
47157020302,48.7
47157020400,0.4
47157020511,19.7
47157020521,33.8
47157020523,49
47157020524,14.4
47157020531,25.8
47157020532,18.3
47157020541,18.9
47157020542,20.6
47157020543,31.4
47157020544,35.1
47157020610,18.5
47157020621,10.9
47157020622,4.7
47157020632,5.7
47157020633,3.5
47157020634,1.8
47157020635,15
47157020651,13
47157020652,8
47157020653,6.9
47157020654,4
47157020655,0.3
47157020656,0.6
47157020657,9.9
47157020658,17.6
47157020700,5.2
47157020833,5.7
47157020834,1.3
47157020835,13.5
47157020836,2.9
47157020837,8.8
47157020901,7.5
47157020902,5.2
47157021020,10.4
47157021021,15.1
47157021022,9.3
47157021023,17.5
47157021111,16.3
47157021112,14.1
47157021113,10
47157021121,15.6
47157021122,17.7
47157021124,10.2
47157021125,7.4
47157021126,11.7
47157021135,7.4
47157021136,3.4
47157021138,7.8
47157021139,0.9
47157021140,7
47157021141,6.9
47157021142,2.7
47157021143,0.9
47157021144,13.4
47157021200,-
47157021311,3.1
47157021312,6.8
47157021320,8.7
47157021331,9.4
47157021333,8.7
47157021334,13.7
47157021341,6.2
47157021351,2.2
47157021352,0.6
47157021354,5.2
47157021355,6.1
47157021356,0.4
47157021357,0.6
47157021410,2.6
47157021420,3.7
47157021430,3.9
47157021530,1.2
47157021541,1.5
47157021542,2.6
47157021543,2.3
47157021544,1.4
47157021545,3
47157021546,3.8
47157021547,7.8
47157021548,2.5
47157021611,2.9
47157021612,0.5
47157021613,4.1
47157021620,13.7
47157021710,45.3
47157021721,26.4
47157021724,13.3
47157021725,15.6
47157021731,34.9
47157021744,4.5
47157021745,3.2
47157021746,12.3
47157021747,12.6
47157021751,9
47157021752,17.8
47157021753,7.8
47157021754,18.6
47157021755,21.8
47157021756,24.5
47157021757,41.4
47157021758,29.5
47157021759,8.8
47157021760,4.6
47157021900,16.1
47157022023,32.1
47157022024,18.5
47157022025,59.1
47157022026,33.4
47157022111,25.4
47157022121,18.6
47157022122,24.4
47157022130,23.7
47157022131,37.8
47157022132,25.1
47157022210,20.9
47157022220,50.9
47157022310,45.1
47157022321,21.1
47157022322,18.8
47157022330,37.6
47157022410,12.4
47157022500,29.3
47157022600,29.9
47157022700,24.3
47157980100,-
47157980200,-
47157980300,-
47157980401,-
47157980402,-
